526707	67647	860169	334998	3799537	505268	337340	103603	47471	2217368	1095879	33468	187014	1325726	716306	363530	309371	441880	456884	60430	444491	684630	923464	570518	311159	589372	108287	219090	314085	94203	991010	196997	2037414	963771	106959	1067262	447393	182040	1151189	147220	575956	122228	838820	2919181	396004	22675	656020	398509	151848	657872	57883	32279855
527083	67834	860772	335289	3801233	506405	337961	103844	47533	2222546	1097279	33537	187269	1328454	717564	364036	310011	442618	457326	60691	445493	686243	928407	572025	311493	590175	108489	219341	314475	94405	993123	197218	2040448	965536	107105	1068985	447642	182916	1154559	147601	576639	122398	840011	2923450	396522	22723	657154	400149	152301	658696	57999	32335042
527513	68002	861653	335529	3803202	509194	338447	104038	47614	2228212	1098723	33659	187479	1331848	718948	364486	310014	443408	457896	60945	446459	687638	932604	573938	311654	590973	108663	219559	314928	94676	995365	197447	2044345	967521	107278	1070771	447931	183830	1158361	147897	577550	122532	841036	2927022	396985	22824	658341	401718	152733	659600	58069	32393868
527922	68148	862497	335725	3805473	510966	339233	104405	47697	2233518	1100187	33851	187656	1335055	720425	364844	310600	444127	458581	61213	447401	688973	936467	575812	311900	591637	108817	219826	315438	94886	997223	197733	2048150	969752	107442	1072312	448305	184812	1162826	148186	578659	122660	842107	2930537	397323	22952	659590	403040	153128	660450	58142	32451970
528309	68148	863571	335968	3807876	512804	339233	104621	47697	2238937	1101487	33970	187656	1337868	721577	365229	310600	444771	458581	61616	448340	690279	940175	577524	311900	592687	108985	220032	315438	95163	998812	197733	2052022	969752	107512	1074019	448305	185597	1165926	148186	579556	122660	842715	2934023	397733	23032	660553	404709	153498	661209	58142	32500747
528597	68148	863927	336105	3809511	513765	339233	104909	47800	2242778	1102789	34082	187656	1339728	722646	365524	310600	445139	458581	61847	448989	691172	940175	579235	311900	593474	109030	220127	315438	95377	1000010	197733	2054848	969752	107567	1075004	448305	186344	1168402	148186	580273	122660	843214	2935330	398012	23126	661314	404709	153918	661685	58142	32531302
528784	68426	864579	336166	3810987	514721	340545	105067	47903	2245853	1103659	34156	188024	1341777	723443	365754	311108	445449	459340	62092	449509	691735	945732	580340	312400	593831	109092	220225	316239	95506	1000993	198372	2057276	974319	107716	1075999	448872	186878	1170072	148669	580794	122745	843871	2936871	398240	23158	661925	407191	154207	662069	58290	32575923
528784	68518	865280	336462	3812616	516240	340962	105204	47986	2249535	1104837	34234	188233	1343988	724214	366131	311108	446221	460337	62510	450010	692589	948852	581335	312608	594380	109315	220481	316715	95714	1001997	198576	2059485	975300	107887	1077284	449041	187611	1173383	148929	581221	122974	844722	2941024	398499	23191	662696	408607	154551	662893	58367	32618818
529446	68666	866022	336760	3814193	517851	341571	105401	48041	2253929	1105855	34296	188435	1346398	725353	366570	311602	446929	460803	62858	450689	693608	951899	582576	312712	594984	109455	220720	317088	95881	1004525	198781	2061887	976768	108024	1078734	449266	188417	1176190	149197	581835	123073	845927	2943528	398979	23247	663538	409933	154956	663668	58438	32664862
530011	68762	866623	336948	3816983	519414	342282	105572	48080	2258433	1107068	34424	188601	1348176	726600	366959	311605	447582	461210	63176	451267	694769	956012	584227	312926	595629	109588	220933	317482	96134	1005938	199054	2064530	978566	108145	1080121	449414	189162	1178659	149384	582506	123157	846713	2945888	399374	23296	664394	411075	155341	664461	58527	32711041
530325	68880	867443	337170	3819123	520816	342718	105775	48136	2262598	1108317	34469	188788	1351497	727764	367300	312050	448215	461773	63464	452035	695745	959379	585677	313166	596224	109737	221153	317980	96337	1007776	199333	2066989	980498	108245	1081518	449648	189986	1181736	149577	583373	123233	847742	2948814	399760	23393	665332	412483	155680	665210	58623	32759455
530744	68880	868382	337415	3821009	522382	342718	105948	48164	2266575	1109330	34667	188788	1353226	728811	367564	312050	448757	461773	63751	452691	696540	961956	586959	313166	596758	109889	221347	317980	96501	1007555	199333	2070053	980498	108285	1082815	449648	190804	1184331	149577	583996	123233	848301	2951004	400120	23445	666111	413980	156001	665842	58623	32795112
530988	68880	868830	337510	3822480	523309	342718	106148	48180	2269806	1109958	34748	188788	1354967	729716	367717	312050	448952	461773	63994	453125	697398	961956	587762	313166	597097	109924	221434	317980	96624	1007894	199333	2072426	980498	108330	1083609	449648	191405	1185639	149577	584517	123233	848677	2952420	400352	23486	666650	413980	156406	666180	58623	32817982
531094	69117	869472	337586	3823692	524190	343545	106252	48195	2272102	1110418	34808	189128	1356391	730306	367912	312401	449107	462868	64219	453401	697872	964943	588952	313675	597344	109935	221500	318780	96801	1008046	199901	2074079	984251	108455	1084322	450315	191774	1186648	149948	584932	123310	849302	2953173	400559	23541	666986	415705	156617	666401	58764	32850359
531404	69178	870155	337819	3825130	525474	343954	106341	48282	2275365	1111376	34870	189361	1357953	730969	368192	312401	449864	463517	64457	453800	698427	967611	589527	313942	597754	110107	221911	319250	96933	1008607	200037	2075539	984950	108565	1085733	450400	192416	1189316	150097	585219	123435	850146	2957139	400783	23606	667586	416930	156875	666974	58835	32885837
531751	69267	870624	338043	3826733	526687	344141	106455	48336	2278549	1112297	34917	189586	1359748	731810	368566	312801	450541	463997	64748	454271	699187	970376	590436	314147	598292	110317	222088	319714	97093	1009093	200232	2077563	986443	108681	1087182	450543	193014	1191476	150252	585601	123518	851043	2959505	401251	23651	668147	418020	157215	667637	58893	32921988
532895	69351	871168	338235	3828741	528533	344612	106580	48404	2282613	1113411	34991	189735	1361666	732692	368822	312839	451213	464412	65044	454745	699908	972746	591445	314509	598931	110429	222247	320150	97304	1009521	200432	2079749	987837	108774	1088343	450696	193732	1193603	150231	585957	123599	851751	2961953	401669	23724	668726	419382	157626	668208	58996	32960725
537813	69464	872022	338485	3830762	530098	344977	106715	48424	2286203	1114329	35131	189908	1363507	733591	369057	313192	451766	464833	65348	455257	700337	974848	592750	314710	599402	110560	222335	320539	97430	1009844	200650	2081823	989338	108858	1089357	450847	194542	1195471	150385	586585	123644	852554	2964566	402005	23792	669219	421757	157923	668805	59079	33002942
539829	69464	872496	338687	3832288	531070	344977	106873	48530	2289522	1115072	35235	189908	1365020	734736	369232	313192	452250	464833	65524	455635	701490	976339	593622	314710	599861	110644	222335	320539	97563	1010490	200650	2083623	989338	108905	1090276	450847	195179	1197458	150385	588110	123644	852957	2966549	402325	23847	669904	422665	158230	669427	59079	33033700
540083	69464	872978	338782	3833371	531700	344977	107007	48545	2292004	1115601	35359	189908	1366268	735462	369370	313192	452537	464833	65716	456004	702039	976339	594427	314710	600153	110685	222335	320539	97676	1010759	200650	2085477	989338	108936	1090894	450847	195684	1198528	150385	588593	123644	853231	2967199	402567	23883	670184	422665	158468	669668	59079	33051392
540267	69600	873446	338849	3834161	532389	345639	107089	48590	2293980	1116008	35432	190279	1367214	735999	369494	313557	452821	465946	65915	456216	702338	978915	595016	315026	600350	110723	222512	321081	97774	1011106	201186	2086836	991956	109035	1091623	451278	195884	1199342	150648	588939	123686	853883	2967699	402731	23912	670456	423382	158643	669804	59222	33076635
540603	69657	874065	339162	3835232	533119	345720	107175	48616	2296785	1116775	35487	190472	1368709	736480	369693	313559	453460	466440	66114	456428	702776	980450	595532	315634	600778	110861	222612	321368	97904	1011752	201336	2088361	992578	109154	1092616	451349	196392	1201307	150737	589098	123784	854452	2971776	402988	23945	670834	424050	158888	670362	59321	33105554
540891	69756	874605	339406	3836659	534364	345948	107928	48634	2299596	1117475	35585	190712	1370342	737282	369984	314058	454044	467055	66316	456765	703292	982400	596186	315891	601228	110992	222676	321716	97978	1012196	201489	2089698	993547	109233	1093534	451473	196788	1202582	150737	589488	123822	855082	2973791	403418	23988	671325	424903	159149	670876	59376	33135158
541230	69835	875195	339662	3838463	535316	346154	108031	48662	2302489	1118308	35665	190900	1371884	738173	370194	314086	454609	467475	66535	457084	703897	983970	597052	316167	601794	111025	222780	322018	98091	1012757	201695	2091342	994734	109301	1094742	451645	197356	1204008	150948	589846	123877	855627	2975694	403684	24026	671916	425848	159450	671445	59590	33165376
541673	69902	875766	339863	3839826	536128	346325	108166	48689	2304860	1119012	35726	191068	1373457	738961	370363	314482	455150	467815	66705	457527	704345	985229	597731	316272	602362	111161	222884	322352	98168	1013409	201868	2092916	995754	109370	1095746	451830	197851	1206055	151258	590314	123911	856143	2977271	403984	24065	672312	427494	159735	671909	59661	33194201
541928	69902	876411	340040	3841198	536969	346325	108280	48727	2308266	1119614	35819	191068	1374565	739626	370519	314482	455575	467815	66863	458048	704796	986435	598327	316272	602900	111168	222884	322352	98244	1013787	201868	2094245	995754	109396	1096617	451830	198356	1207439	151258	590645	123911	856452	2978624	404246	24084	672793	427494	159735	672266	59661	33215414
542124	69902	876732	340137	3842340	537401	346325	108365	48748	2310335	1119979	35867	191068	1375508	740189	370628	314482	455790	467815	66979	458292	705142	986435	598766	316272	603174	111203	222884	322352	98303	1014088	201868	2095319	995754	109426	1097300	451830	198689	1208399	151258	590981	123911	856703	2979392	404477	24106	673029	427494	159735	672422	59661	33229199
542256	69999	877182	340186	3843061	537858	346711	108409	48762	2311941	1120272	35901	191397	1376441	740564	370719	314757	456053	468402	67078	458520	705370	987974	599234	316754	603380	111224	223054	322757	98349	1014190	202186	2096280	998176	109505	1097867	452288	198972	1209033	151440	591365	123942	857153	2980079	404625	24127	673105	429499	160354	672591	59797	33251074
542562	70052	877682	340515	3844397	539261	346892	108409	48803	2313815	1120923	35924	191546	1377249	741053	370873	314757	456626	469445	67139	458680	705598	988947	599477	316911	603849	111377	223126	323022	98428	1014579	202405	2097200	998701	109574	1098594	452377	199391	1210274	151502	591525	124023	857573	2984043	404810	24136	673759	430415	160587	673023	59870	33275666
542831	70119	878338	340698	3845929	540092	346980	108532	48822	2316142	1121472	35974	191738	1378388	741697	371031	315109	457062	469864	67301	458878	706027	990002	599909	317065	604298	111454	223197	323249	98470	1014974	202570	2098098	999567	109613	1099580	452496	199784	1211394	151580	591862	124071	858070	2986224	405078	24162	674082	432170	160777	673388	59961	33300261
543177	70162	879102	340916	3851126	540924	347137	108607	48844	2318480	1122166	36032	191877	1379279	742353	371143	315110	457482	470331	67423	459095	706272	990638	600408	317276	604987	111623	223243	323481	98613	1015368	202698	2099246	1000416	109662	1100312	452633	200210	1212412	151691	592243	124105	858463	2987513	405387	24182	674439	433701	161046	673738	60048	33327104
543405	70208	879909	341130	3852513	541726	347341	108681	48898	2320818	1122711	36076	192012	1380261	742910	371253	315331	457892	470685	67551	459343	706559	991372	600767	317407	605601	111718	223304	323748	98650	1015634	202821	2100183	1001154	109708	1100972	452777	200632	1213478	151743	592651	124162	858780	2989545	405659	24190	674843	434783	161287	674003	60144	33349347
543405	70208	880466	341290	3853793	542405	347341	108770	48898	2320818	1123343	36124	192012	1381063	743338	371331	315331	458275	470685	67658	459528	706783	991941	601105	317407	606075	111785	223304	323748	98699	1015889	202821	2101055	1001154	109729	1101557	452777	201005	1214320	151743	592912	124162	858968	2990626	405851	24200	675165	435849	161287	674003	60144	33362658
543405	70208	880466	341351	3854503	542889	347341	108821	48898	2320818	1123604	36246	192012	1381665	743696	371382	315331	458479	470685	67745	459777	706945	991941	601384	317407	606319	111809	223304	323748	98726	1016135	202821	2101875	1001154	109737	1101934	452777	201260	1214836	151743	593092	124162	859148	2991010	406027	24209	675392	435849	161287	674003	60144	33370012
543405	70208	881450	341381	3854984	543174	347341	108866	48898	2320818	1123841	36276	192012	1382186	743696	371424	315331	458575	470685	67787	459894	706945	991941	601384	317713	606489	111829	223368	323748	98726	1016332	202821	2102404	1001154	109755	1101934	452777	201475	1215257	151743	593262	124191	859335	2991154	406170	24220	675538	435849	161287	674420	60144	33376287
544045	70319	881454	341450	3855571	543581	347563	108894	49000	2326755	1124080	36332	192305	1382587	744213	371478	315334	458712	471663	67819	459995	707131	992925	601517	317755	606670	111844	223404	324262	98767	1016490	203151	2102869	1003243	109839	1102556	453243	201650	1215767	151844	593262	124191	859755	2991313	406282	24224	675597	436984	161858	674480	60374	33397141
544598	70355	882369	341692	3856486	544157	347678	108911	49011	2327989	1124571	36357	192478	1383065	744474	371640	315767	459124	472304	67881	460060	707265	993422	601645	317856	607158	112002	223434	324681	98791	1016763	203222	2103269	1003508	109894	1102890	453285	201998	1216545	151895	593526	124227	860117	2993308	406482	24232	675783	437677	161967	674739	60447	33413855
545028	70408	882691	341889	3857671	545002	347748	108957	49041	2329867	1125017	36402	192630	1383739	745690	371765	315767	459540	472617	67986	460194	707523	993952	601881	318048	607774	112129	223517	325031	98840	1017044	203330	2103768	1003989	109946	1103380	453400	202247	1217181	151936	593628	124242	860434	2995170	406825	24240	676041	438544	162111	674939	60549	33432249
545585	70469	883037	342142	3858917	545769	347891	109005	49068	2329867	1125512	36471	192795	1384365	746135	371862	316059	460049	472981	68058	460339	707723	994506	602134	318189	608463	112260	223558	325392	98877	1017118	203472	2104539	1004669	109973	1104001	453552	202680	1218006	151992	593727	124261	860728	2997932	407113	24252	676300	439263	162232	675150	60628	33450114
545585	70469	883314	342345	3860120	546500	347891	109070	49068	2332867	1125854	36535	192795	1384903	746554	371956	316059	460412	472981	68155	460471	707940	994935	602428	318189	608970	112260	223558	325392	98877	1017695	203472	2105375	1004669	109994	1104380	453552	202995	1218672	151992	593948	124261	860892	2999911	407419	24252	676586	440057	162232	675150	60628	33465719
545585	70469	883821	342433	3861063	546874	347891	109126	49068	2332867	1126134	36616	192795	1385245	746554	372024	316059	460485	472981	68233	460575	708083	994935	602686	318189	608578	112260	223558	325392	98877	1017904	203472	2105882	1004669	110010	1104648	453552	203252	1219067	151992	594130	124261	860993	3000548	407642	24252	676741	440057	162232	675150	60628	33471736
546324	70520	884195	342495	3861922	547191	348088	109167	49110	2332867	1126397	36649	193030	1385489	747083	372064	316268	460520	473777	68262	460659	708195	995397	602880	318521	609329	112381	223648	326019	98941	1018112	203686	2106399	1005966	110049	1104903	453890	203374	1219310	152074	594225	124273	861253	3001053	407816	24282	676831	440889	162540	675448	60779	33485808
546540	70520	884609	342726	3862953	547791	348154	109188	49119	2332867	1126789	36685	193157	1385854	747447	372156	316272	461119	473879	68333	460737	708316	995759	603005	318578	610053	112518	223685	326366	98944	1018307	203747	2106852	1006265	110094	1105329	453970	203671	1219970	152106	594345	124302	861524	3002845	408068	24295	677013	441591	162636	675650	60849	33498848
546845	70588	885042	342927	3863911	548488	348262	109225	49127	2332867	1127200	36731	193295	1386262	747799	372248	316657	461446	474653	68386	460863	708459	996065	603144	318685	610677	112591	223714	326583	98996	1018491	203823	2107289	1006809	110146	1105720	454094	203933	1220418	152153	594574	124314	861739	3009338	408428	24300	677210	442098	162726	675780	60941	33517413
547135	70588	885412	343216	3865146	549084	348319	109258	49151	2332867	1127658	36793	193397	1386628	748259	372331	316657	461717	475126	68449	460984	708579	996427	603305	318879	611352	112690	223749	326878	99040	1018833	203919	2107831	1007273	110180	1106064	454216	204291	1221014	152187	594659	124335	861975	3011813	408741	24314	677425	442815	162845	675971	61012	33532194
547323	70652	885834	343609	3866243	550014	348350	109296	49158	2344321	1128092	36871	193515	1387029	748654	372438	316886	461947	475354	68488	461097	708710	996756	603466	319115	611997	112761	223792	327140	99068	1019107	204044	2108510	1007698	110218	1106411	454394	204587	1221476	152213	594805	124343	862264	3013276	409007	24320	677530	443454	162939	676075	61114	33557345
547323	70652	886404	343873	3867222	550618	348350	109322	49179	2344321	1128467	36975	193515	1387297	749097	372523	316886	462220	475354	68541	461183	708836	996986	603614	319115	612552	112761	223792	327140	99068	1019107	204044	2108950	1007698	110226	1106796	454394	204866	1221847	152213	594805	124343	862412	3014344	409364	24320	677671	444166	162939	676075	61114	33566505
547323	70652	886752	343964	3867864	551091	348350	109358	49179	2344321	1128690	37011	193515	1387595	749097	372580	316886	462303	475354	68590	461265	708875	996986	603760	319115	612956	112761	223792	327140	99068	1019563	204044	2109313	1007698	110234	1107047	454394	205030	1222049	152213	594877	124360	862497	3014664	409558	24320	677744	444166	162939	676075	61114	33571776
547873	70717	887146	344067	3868805	551328	348465	109379	49200	2344321	1128870	37067	193743	1387760	749532	372650	317119	462432	475908	68606	461325	708933	997375	603876	319381	613266	112850	223847	327579	99143	1019794	204271	2109677	1008926	110266	1107225	454884	205154	1222229	152273	595201	124356	862711	3015040	409727	24331	677812	444722	163144	676276	61234	33583561
548163	70717	887569	344369	3869608	551719	348521	109421	49213	2344321	1129177	37104	193832	1387986	749835	372751	317119	462700	476467	68635	461392	709012	997595	603966	319428	613848	112949	223888	327831	99178	1020043	204392	2110004	1009198	110286	1107521	454929	205459	1222699	152306	595285	124377	863018	3016347	409964	24339	677949	445155	163221	676406	61303	33594290
548323	70770	888005	344657	3870492	552183	348560	109418	49223	2344321	1129675	37134	193919	1388338	750170	372836	317438	462922	476792	68686	461470	709080	997816	604052	319511	614710	113021	223931	328194	99196	1020326	204472	2110310	1009531	110313	1107902	455145	205698	1222981	152333	595310	124382	863284	3017780	410377	24348	678226	445686	163311	676442	61359	33606196
548323	70770	888337	344945	3871802	552726	348595	109470	49232	2344321	1130083	37170	194006	1388586	750432	372910	317440	463154	477127	68720	461549	709187	997993	604184	319704	615471	113092	223960	328490	99225	1020564	204577	2110756	1009893	110338	1108146	455354	205988	1223314	152359	595361	124393	863453	3019547	410746	24357	678392	446124	163382	676551	61425	33617959
548657	70875	888701	345221	3872808	553200	348665	109501	49243	2354416	1130468	37214	194006	1388688	750702	372985	317610	463337	477453	68756	461635	709263	998149	604291	319948	616390	113167	223986	328875	99254	1020830	204698	2111162	1010113	110354	1108528	455535	206299	1223619	152383	595448	124393	863635	3020481	411071	24360	678506	446682	163382	676673	61490	33639141
548657	70875	889342	345472	3873968	553596	348665	109528	49243	2354416	1130845	37284	194006	1388688	751242	373047	317610	463510	477453	68794	461697	709354	998149	604406	319948	617006	113167	223986	328875	99254	1021038	204698	2111556	1010113	110361	1108736	455535	206581	1223873	152383	595448	124393	863762	3022485	411361	24360	678595	447203	163382	676673	61490	33648192
548657	70875	889727	345605	3875078	553868	348665	109548	49243	2354416	1131048	37353	194006	1388688	751242	373098	317610	463593	477453	68826	461739	709395	998149	604509	319948	617498	113167	223986	328875	99254	1021182	204698	2111845	1010113	110366	1108902	455535	206777	1224005	152383	595448	124393	863846	3023011	411610	24360	678649	447203	163382	676673	61490	33653113
549013	70963	890111	345695	3875910	554090	348757	109564	49262	2354416	1131232	37367	194249	1389443	751526	373142	317756	463692	478139	68846	461779	709443	998507	604608	320107	617928	113225	224065	329515	99329	1021308	204961	2112129	1010889	110395	1109025	455986	206851	1224122	152429	595750	124411	864001	3023097	411770	24368	678765	447724	163382	676820	61630	33663667
549013	70963	890533	346180	3876739	554473	348802	109577	49275	2354416	1131583	37387	194367	1389634	751826	373223	317756	463873	478464	68866	461828	709476	998641	604687	320174	618713	113341	224103	329915	99348	1021554	205058	2112388	1011100	110410	1109374	456148	207106	1224387	152443	595813	124446	864236	3024890	412019	24371	678909	448142	163627	676931	61704	33674463
549394	71035	891023	346569	3878258	554977	348840	109599	49284	2354416	1131972	37429	194520	1389892	752108	373315	318097	464033	478946	68879	461887	709544	998877	604758	320292	619554	113403	224156	330362	99366	1021822	205134	2112649	1011561	110425	1109697	456413	207333	1224635	152481	595901	124471	864466	3025569	412546	24379	679137	448945	163689	677048	61776	33687128
549394	71035	891649	346952	3880303	555569	348993	109620	49297	2354416	1132329	37484	194609	1390140	752395	373371	318097	464199	479311	68889	461953	709622	999052	604879	320594	620792	113471	224206	330810	99392	1022094	205215	2113046	1011955	110444	1110000	456686	207558	1224861	152501	596032	124482	864687	3027809	413008	24385	679391	449491	163744	677186	61847	33701602
549934	71035	892236	347254	3882109	555971	349120	109636	49305	2365464	1132661	37532	194690	1390432	752699	373450	318352	464388	479521	68925	462017	709682	999119	604971	320837	621683	113529	224226	331614	99403	1022443	205290	2113398	1012343	110458	1110292	456910	207787	1225073	152514	596144	124496	864903	3029487	413317	24392	679762	449983	163804	677252	61951	33726205
549934	71035	892711	347254	3884338	556542	349120	109657	49305	2365464	1133063	37596	194690	1390432	752699	373532	318352	464547	479521	68964	462078	709738	999119	605040	320837	622472	113529	224226	331614	99403	1022680	205290	2113742	1012343	110464	1110546	456910	207999	1225277	152514	596144	124496	865032	3031332	413668	24392	680060	450404	163804	677252	61951	33735575
549934	71035	893147	347254	3885552	556775	349120	109682	49305	2365464	1133291	37647	194690	1390432	752699	373583	318352	464617	479521	68977	462144	709769	999119	605137	320837	623096	113529	224226	331614	99403	1022830	205290	2114123	1012343	110469	1110700	456910	208137	1225415	152514	596144	124496	865128	3031650	413950	24392	679828	450404	163804	677252	61951	33740197
550451	71181	893560	348220	3886684	557004	349261	109700	49333	2365464	1133481	37669	194824	1391179	753260	373636	318689	464686	480463	68990	462181	709810	999471	605218	321138	623538	113577	224330	332529	99455	1022977	205438	2114434	1013207	110482	1110847	457490	208222	1225507	152567	596616	124515	865238	3031833	414204	24402	679917	450930	163967	677396	62099	33753820
550451	71187	894106	348699	3882747	557347	349301	109712	49347	2365464	1133983	37702	194901	1391480	753528	373739	318690	464893	480876	69022	462217	709873	999711	605297	321408	624471	113690	224404	333154	99481	1023200	205484	2114686	1013481	110508	1111124	457575	208446	1225708	152589	596712	124526	865651	3034157	414565	24406	680065	451248	163992	677531	62195	33761297
550983	71275	894875	349385	3884497	557791	349352	109744	49355	2365464	1134573	37758	194998	1391739	753927	373861	319125	465167	481467	69034	462279	709966	1000019	605365	321764	625796	113755	224488	333712	99504	1023395	205542	2114986	1013689	110521	1111324	457851	208640	1225900	152613	596840	124546	865952	3035767	415139	24410	680340	451595	164041	677622	62290	33776650
550983	71275	895347	350085	3886297	558321	349387	109770	49362	2365464	1135093	37807	195089	1392196	754317	373960	319149	465330	482035	69055	462354	710049	1000241	605448	321944	627082	113821	224488	334255	99527	1023613	205629	2115377	1013985	110530	1111903	458180	208836	1226091	152618	597021	124570	866255	3038013	415679	24412	680564	452072	164097	677740	62353	33791771
551298	71384	895873	350579	3887083	558820	349476	109820	49378	2381148	1135526	37886	195172	1392552	754724	374054	319541	465490	482560	69070	462439	710138	1000375	605549	322186	628255	113873	224682	334763	99555	1023923	205715	2115880	1014359	110536	1112088	458483	209037	1226270	152643	597261	124592	866573	3039924	416110	24419	680744	452483	164149	677859	62445	33821527
551298	71384	896518	350579	3887762	559272	349476	109846	49378	2381148	1135526	37933	195172	1392552	754724	374120	319541	465676	482560	69099	462535	710138	1000375	605660	322186	628484	113873	224682	334763	99555	1024113	205715	2116166	1014359	110538	1112289	458483	209037	1226504	152643	597261	124592	866840	3041362	416110	24419	680904	452483	164149	677859	62445	33826941
551298	71384	896960	350579	3888319	559534	349476	109875	49378	2381148	1135526	37995	195172	1392552	754724	374180	319541	465752	482560	69121	462596	710138	1000375	605660	322186	629742	113873	224682	334763	99555	1024225	205715	2116516	1014359	110547	1112289	458483	209037	1226653	152643	597261	124592	867019	3041781	416110	24419	681072	452483	164149	677859	62445	33831226
551298	71384	897010	351825	3892245	559704	349476	109891	49378	2381148	1135526	38043	195172	1392552	754724	374207	319541	465826	482560	69121	462634	710138	1000375	605660	322186	630744	113873	224682	334763	99555	1024311	205715	2116888	1014359	110553	1112499	458483	209037	1226776	152643	597961	124592	867210	3042127	416110	24419	681194	452483	164149	678008	62445	33840128
551298	71384	897910	352095	3894168	559921	349651	109900	49417	2381148	1136893	38082	195429	1393773	755700	374284	319552	465913	484577	69121	462681	710428	1000908	605803	322835	631510	113951	224873	336109	99626	1024465	205915	2117186	1015847	110582	1112689	459524	209494	1226882	152698	598093	124592	867638	3043129	417259	24433	681326	453665	164279	678048	62642	33862410
552911	71598	898283	353095	3895991	560419	349743	109900	49423	2381148	1137560	38121	195552	1394235	756070	375328	320581	466244	485803	69159	462736	710519	1000908	606034	323214	633169	114102	224873	336562	99652	1024748	205996	2117549	1016262	110611	1113006	459675	209764	1227087	152738	598229	124652	868139	3044975	417653	24440	681599	454068	164346	678232	62737	33882587
552911	71598	898908	354305	3898496	560860	349798	109931	49434	2381148	1138492	38196	195696	1394852	756625	374381	320601	466545	486589	69192	462835	710629	1000908	606158	323641	634834	114189	225069	337259	99685	1025079	206128	2118216	1016892	110626	1113383	460131	209974	1227346	152748	598511	124652	868697	3049018	418321	24445	681890	454650	164399	678459	62865	33903450
554071	71731	899829	355460	3899822	561912	349969	109986	49455	2404895	1139396	38265	195831	1395497	757062	374627	321413	466884	487558	69202	462980	710830	1001745	606297	324057	636976	114240	225171	338072	99708	1025477	206252	2118960	1017435	110652	1113737	460682	210230	1227591	152729	598918	124652	869261	3051415	418976	24457	682147	455103	164465	678604	62966	33951045
554605	71731	900636	355460	3901108	562401	349969	110019	49455	2404895	1139396	38379	195831	1395497	757062	374627	321413	467246	487558	69220	463107	710830	1001745	606297	324057	638573	114240	225171	338072	99708	1025788	206252	2119692	1017435	110662	1114036	460682	210230	1227864	152729	598918	124652	869669	3053735	418976	24457	682433	455103	164465	678604	62966	33961165
554605	71731	901439	355460	3907435	562763	349969	110074	49455	2404895	1139396	38481	195831	1395497	757062	374627	321413	467448	487558	69220	463186	710830	1001745	606297	324057	639668	114240	225171	338072	99708	1026071	206252	2120486	1017435	110664	1114267	460682	210230	1228067	152729	598918	124652	869899	3054335	418976	24457	682673	455103	164465	678604	62966	33972912
555215	71905	901561	357473	3910951	563086	350039	110093	49526	2404895	1141159	38544	196128	1397089	757904	374627	322075	467612	489951	69220	463265	711162	1001745	606484	324853	639881	114325	225171	339745	99770	1026286	206551	2121119	1019298	110706	1114491	461893	210729	1228204	152819	600027	124652	870482	3054872	420214	24489	682856	456709	164625	678944	63138	34002336
555215	71905	901906	358949	3915744	563642	350245	110112	49536	2404895	1142268	38605	196310	1397667	758479	374627	322075	468044	490904	69285	463383	711446	1002488	606870	325072	642168	114415	225477	340600	99800	1026649	206666	2121761	1019838	110734	1114835	461893	211065	1228558	152842	600283	124652	871288	3058524	420685	24497	683202	457814	164685	679180	63235	34028867
556613	72153	903851	360258	3919522	564164	350386	110182	49574	2404895	1143528	38653	196489	1398410	759062	375278	322208	468680	492840	69325	463487	711676	1002488	607069	325713	644423	114508	225600	341292	99840	1027014	206846	2122502	1020833	110763	1115242	463152	211315	1228878	152873	600607	124750	871998	3061650	421257	24516	683614	458517	164763	679389	63331	34059991
557578	72153	904865	361238	3922750	564686	350536	110231	49615	2404895	1144890	38819	196695	1399270	759618	375278	323302	469214	494340	69374	463665	711943	1002488	607278	326270	647237	114576	225711	342230	99875	1027460	207002	2123452	1021853	110782	1115789	463857	211631	1229309	152927	601232	124764	872789	3066531	421950	24529	684054	459306	164843	679604	63455	34091954
558577	72440	906116	362580	3926445	565294	350675	110270	49652	2450344	1145976	38966	196856	1399946	760163	375278	324367	469710	495945	69418	463848	712272	1003432	607524	326804	649571	114663	225861	343096	99907	1027954	207189	2124168	1022876	110807	1116322	464607	211998	1229749	152971	601803	124764	873573	3070812	422619	24550	684499	460067	164933	679826	63523	34170065
559478	72440	906116	362580	3928446	565829	350675	110339	49652	2450344	1145976	39090	196856	1399946	760163	375278	324367	470220	495945	69476	464031	712272	1003432	607524	326804	651966	114663	225861	343096	99907	1028503	207189	2125535	1022876	110816	1116808	464607	211998	1230193	152971	601803	124764	874196	3074449	422619	24550	684499	460067	164933	679826	63523	34184167
560202	72440	908248	362580	3938402	566289	350675	110387	49652	2450344	1145976	39254	196856	1399946	760163	375278	324375	470440	495945	69476	464197	712272	1003432	607524	326804	653331	114663	225861	343096	99907	1028931	207189	2126680	1022876	110827	1117109	464607	211998	1230534	152971	601803	124764	874673	3076595	422619	24550	684499	460067	164933	679826	63523	34204496
